scope,scope_detail,technology,status,grid,capacidad_acceso_mw,potencia_instalada_mw
NACIONAL,Nacional,almacenamiento,Con permisos,RdD,5909.0,8263.0
NACIONAL,Nacional,almacenamiento,Con permisos,RdT,5078.0,20045.0
NACIONAL,Nacional,almacenamiento,En curso,RdD,3431.22,3716.54
NACIONAL,Nacional,almacenamiento,En curso,RdT,9815.0,10251.6
NACIONAL,Nacional,almacenamiento,Puesta en servicio,RdD,12.15,80.04
NACIONAL,Nacional,almacenamiento,Puesta en servicio,RdT,,140.38
NACIONAL,Nacional,bombeo,Con permisos,RdD,,
NACIONAL,Nacional,bombeo,Con permisos,RdT,3356.0,2966.0
NACIONAL,Nacional,bombeo,En curso,RdD,,
NACIONAL,Nacional,bombeo,En curso,RdT,1009.0,1009.0
NACIONAL,Nacional,bombeo,Puesta en servicio,RdD,,
NACIONAL,Nacional,bombeo,Puesta en servicio,RdT,5377.85,5454.03
NACIONAL,Nacional,eolica,Con permisos,RdD,3876.0,4927.0
NACIONAL,Nacional,eolica,Con permisos,RdT,12398.0,18308.0
NACIONAL,Nacional,eolica,En curso,RdD,1862.25,1982.29
NACIONAL,Nacional,eolica,En curso,RdT,10794.47,11622.2
NACIONAL,Nacional,eolica,Puesta en servicio,RdD,8985.89,10223.85
NACIONAL,Nacional,eolica,Puesta en servicio,RdT,14888.38,22329.22
NACIONAL,Nacional,fotovoltaica,Con permisos,RdD,12711.0,16275.0
NACIONAL,Nacional,fotovoltaica,Con permisos,RdT,32969.0,51668.0
NACIONAL,Nacional,fotovoltaica,En curso,RdD,5389.35,5853.34
NACIONAL,Nacional,fotovoltaica,En curso,RdT,7981.95,10227.14
NACIONAL,Nacional,fotovoltaica,Puesta en servicio,RdD,10102.23,12991.75
NACIONAL,Nacional,fotovoltaica,Puesta en servicio,RdT,13546.82,30612.0
NACIONAL,Nacional,hibridacion,Con permisos,RdD,1484.0,
NACIONAL,Nacional,hibridacion,Con permisos,RdT,10134.0,
NACIONAL,Nacional,hibridacion,En curso,RdD,178.18,
NACIONAL,Nacional,hibridacion,En curso,RdT,1653.71,
NACIONAL,Nacional,hibridacion,Puesta en servicio,RdD,3131.03,
NACIONAL,Nacional,hibridacion,Puesta en servicio,RdT,22199.75,
NACIONAL,Nacional,hidraulica,Con permisos,RdD,48.0,100.0
NACIONAL,Nacional,hidraulica,Con permisos,RdT,191.0,495.0
NACIONAL,Nacional,hidraulica,En curso,RdD,,15.2
NACIONAL,Nacional,hidraulica,En curso,RdT,,
NACIONAL,Nacional,hidraulica,Puesta en servicio,RdD,6022.6,6029.68
NACIONAL,Nacional,hidraulica,Puesta en servicio,RdT,6402.18,6908.14
NACIONAL,Nacional,otras,Con permisos,RdD,516.0,742.0
NACIONAL,Nacional,otras,Con permisos,RdT,249.0,744.0
NACIONAL,Nacional,otras,En curso,RdD,55.82,41.84
NACIONAL,Nacional,otras,En curso,RdT,4570.06,5428.8
NACIONAL,Nacional,otras,Puesta en servicio,RdD,6287.3,6666.48
NACIONAL,Nacional,otras,Puesta en servicio,RdT,35351.69,39326.38
NACIONAL,Nacional,termosolar,Con permisos,RdD,50.0,81.0
NACIONAL,Nacional,termosolar,Con permisos,RdT,,
NACIONAL,Nacional,termosolar,Puesta en servicio,RdD,520.5,570.5
NACIONAL,Nacional,termosolar,Puesta en servicio,RdT,1147.0,1698.6
