zone,zone_detail,node_id,node_name,voltage,lat,lng,section,technology,technology_label,status,grid,value_mw
NACIONAL,Nacional,,,,,,capacidad_acceso,eolica,Eólica,En curso,RdT,10794.47
NACIONAL,Nacional,,,,,,capacidad_acceso,eolica,Eólica,En curso,RdD,1862.25
NACIONAL,Nacional,,,,,,capacidad_acceso,eolica,Eólica,Con permisos,RdT,12398
NACIONAL,Nacional,,,,,,capacidad_acceso,eolica,Eólica,Con permisos,RdD,3876
NACIONAL,Nacional,,,,,,capacidad_acceso,eolica,Eólica,Puesta en servicio,RdT,14888.38
NACIONAL,Nacional,,,,,,capacidad_acceso,eolica,Eólica,Puesta en servicio,RdD,8985.89
NACIONAL,Nacional,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,En curso,RdT,7981.95
NACIONAL,Nacional,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,En curso,RdD,5389.35
NACIONAL,Nacional,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Con permisos,RdT,32969
NACIONAL,Nacional,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Con permisos,RdD,12711
NACIONAL,Nacional,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Puesta en servicio,RdT,13546.82
NACIONAL,Nacional,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,Puesta en servicio,RdD,10102.23
NACIONAL,Nacional,,,,,,capacidad_acceso,almacenamiento,Baterías,En curso,RdT,9815.0
NACIONAL,Nacional,,,,,,capacidad_acceso,almacenamiento,Baterías,En curso,RdD,3431.22
NACIONAL,Nacional,,,,,,capacidad_acceso,almacenamiento,Baterías,Con permisos,RdT,5078
NACIONAL,Nacional,,,,,,capacidad_acceso,almacenamiento,Baterías,Con permisos,RdD,5909
NACIONAL,Nacional,,,,,,capacidad_acceso,almacenamiento,Baterías,Puesta en servicio,RdT,
NACIONAL,Nacional,,,,,,capacidad_acceso,almacenamiento,Baterías,Puesta en servicio,RdD,12.15
NACIONAL,Nacional,,,,,,capacidad_acceso,hibridacion,Hibridación,En curso,RdT,1653.71
NACIONAL,Nacional,,,,,,capacidad_acceso,hibridacion,Hibridación,En curso,RdD,178.18
NACIONAL,Nacional,,,,,,capacidad_acceso,hibridacion,Hibridación,Con permisos,RdT,10134
NACIONAL,Nacional,,,,,,capacidad_acceso,hibridacion,Hibridación,Con permisos,RdD,1484
NACIONAL,Nacional,,,,,,capacidad_acceso,hibridacion,Hibridación,Puesta en servicio,RdT,22199.75
NACIONAL,Nacional,,,,,,capacidad_acceso,hibridacion,Hibridación,Puesta en servicio,RdD,3131.03
NACIONAL,Nacional,,,,,,capacidad_acceso,termosolar,Termosolar,Con permisos,RdT,
NACIONAL,Nacional,,,,,,capacidad_acceso,termosolar,Termosolar,Con permisos,RdD,50
NACIONAL,Nacional,,,,,,capacidad_acceso,termosolar,Termosolar,Puesta en servicio,RdT,1147.0
NACIONAL,Nacional,,,,,,capacidad_acceso,termosolar,Termosolar,Puesta en servicio,RdD,520.5
NACIONAL,Nacional,,,,,,capacidad_acceso,hidraulica,Hidráulica,Con permisos,RdT,191
NACIONAL,Nacional,,,,,,capacidad_acceso,hidraulica,Hidráulica,Con permisos,RdD,48
NACIONAL,Nacional,,,,,,capacidad_acceso,hidraulica,Hidráulica,Puesta en servicio,RdT,6402.18
NACIONAL,Nacional,,,,,,capacidad_acceso,hidraulica,Hidráulica,Puesta en servicio,RdD,6022.6
NACIONAL,Nacional,,,,,,capacidad_acceso,bombeo,Bombeo,En curso,RdT,1009
NACIONAL,Nacional,,,,,,capacidad_acceso,bombeo,Bombeo,En curso,RdD,
NACIONAL,Nacional,,,,,,capacidad_acceso,bombeo,Bombeo,Con permisos,RdT,3356
NACIONAL,Nacional,,,,,,capacidad_acceso,bombeo,Bombeo,Con permisos,RdD,
NACIONAL,Nacional,,,,,,capacidad_acceso,bombeo,Bombeo,Puesta en servicio,RdT,5377.85
NACIONAL,Nacional,,,,,,capacidad_acceso,bombeo,Bombeo,Puesta en servicio,RdD,
NACIONAL,Nacional,,,,,,capacidad_acceso,otras,Otras tecnologías,En curso,RdT,4570.06
NACIONAL,Nacional,,,,,,capacidad_acceso,otras,Otras tecnologías,En curso,RdD,55.82
NACIONAL,Nacional,,,,,,capacidad_acceso,otras,Otras tecnologías,Con permisos,RdT,249
NACIONAL,Nacional,,,,,,capacidad_acceso,otras,Otras tecnologías,Con permisos,RdD,516
NACIONAL,Nacional,,,,,,capacidad_acceso,otras,Otras tecnologías,Puesta en servicio,RdT,35351.69
NACIONAL,Nacional,,,,,,capacidad_acceso,otras,Otras tecnologías,Puesta en servicio,RdD,6287.3
NACIONAL,Nacional,,,,,,potencia_instalada,eolica,Eólica,En curso,RdT,11622.2
NACIONAL,Nacional,,,,,,potencia_instalada,eolica,Eólica,En curso,RdD,1982.29
NACIONAL,Nacional,,,,,,potencia_instalada,eolica,Eólica,Con permisos,RdT,18308
NACIONAL,Nacional,,,,,,potencia_instalada,eolica,Eólica,Con permisos,RdD,4927
NACIONAL,Nacional,,,,,,potencia_instalada,eolica,Eólica,Puesta en servicio,RdT,22329.22
NACIONAL,Nacional,,,,,,potencia_instalada,eolica,Eólica,Puesta en servicio,RdD,10223.85
NACIONAL,Nacional,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,En curso,RdT,10227.14
NACIONAL,Nacional,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,En curso,RdD,5853.34
NACIONAL,Nacional,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,Con permisos,RdT,51668
NACIONAL,Nacional,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,Con permisos,RdD,16275
NACIONAL,Nacional,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,Puesta en servicio,RdT,30612.0
NACIONAL,Nacional,,,,,,potencia_instalada,fotovoltaica,Fotovoltaica,Puesta en servicio,RdD,12991.75
NACIONAL,Nacional,,,,,,potencia_instalada,almacenamiento,Baterías,En curso,RdT,10251.6
NACIONAL,Nacional,,,,,,potencia_instalada,almacenamiento,Baterías,En curso,RdD,3716.54
NACIONAL,Nacional,,,,,,potencia_instalada,almacenamiento,Baterías,Con permisos,RdT,20045
NACIONAL,Nacional,,,,,,potencia_instalada,almacenamiento,Baterías,Con permisos,RdD,8263
NACIONAL,Nacional,,,,,,potencia_instalada,almacenamiento,Baterías,Puesta en servicio,RdT,140.38
NACIONAL,Nacional,,,,,,potencia_instalada,almacenamiento,Baterías,Puesta en servicio,RdD,80.04
NACIONAL,Nacional,,,,,,potencia_instalada,termosolar,Termosolar,Con permisos,RdT,
NACIONAL,Nacional,,,,,,potencia_instalada,termosolar,Termosolar,Con permisos,RdD,81
NACIONAL,Nacional,,,,,,potencia_instalada,termosolar,Termosolar,Puesta en servicio,RdT,1698.6
NACIONAL,Nacional,,,,,,potencia_instalada,termosolar,Termosolar,Puesta en servicio,RdD,570.5
NACIONAL,Nacional,,,,,,potencia_instalada,hidraulica,Hidráulica,En curso,RdT,
NACIONAL,Nacional,,,,,,potencia_instalada,hidraulica,Hidráulica,En curso,RdD,15.2
NACIONAL,Nacional,,,,,,potencia_instalada,hidraulica,Hidráulica,Con permisos,RdT,495
NACIONAL,Nacional,,,,,,potencia_instalada,hidraulica,Hidráulica,Con permisos,RdD,100
NACIONAL,Nacional,,,,,,potencia_instalada,hidraulica,Hidráulica,Puesta en servicio,RdT,6908.14
NACIONAL,Nacional,,,,,,potencia_instalada,hidraulica,Hidráulica,Puesta en servicio,RdD,6029.68
NACIONAL,Nacional,,,,,,potencia_instalada,bombeo,Bombeo,En curso,RdT,1009
NACIONAL,Nacional,,,,,,potencia_instalada,bombeo,Bombeo,En curso,RdD,
NACIONAL,Nacional,,,,,,potencia_instalada,bombeo,Bombeo,Con permisos,RdT,2966
NACIONAL,Nacional,,,,,,potencia_instalada,bombeo,Bombeo,Con permisos,RdD,
NACIONAL,Nacional,,,,,,potencia_instalada,bombeo,Bombeo,Puesta en servicio,RdT,5454.03
NACIONAL,Nacional,,,,,,potencia_instalada,bombeo,Bombeo,Puesta en servicio,RdD,
NACIONAL,Nacional,,,,,,potencia_instalada,otras,Otras tecnologías,En curso,RdT,5428.8
NACIONAL,Nacional,,,,,,potencia_instalada,otras,Otras tecnologías,En curso,RdD,41.84
NACIONAL,Nacional,,,,,,potencia_instalada,otras,Otras tecnologías,Con permisos,RdT,744
NACIONAL,Nacional,,,,,,potencia_instalada,otras,Otras tecnologías,Con permisos,RdD,742
NACIONAL,Nacional,,,,,,potencia_instalada,otras,Otras tecnologías,Puesta en servicio,RdT,39326.38
NACIONAL,Nacional,,,,,,potencia_instalada,otras,Otras tecnologías,Puesta en servicio,RdD,6666.48
PENINSULAR,Peninsular,,,,,,capacidad_acceso,eolica,Eólica,En curso,RdT,10794.47
PENINSULAR,Peninsular,,,,,,capacidad_acceso,eolica,Eólica,En curso,RdD,1862.25
PENINSULAR,Peninsular,,,,,,capacidad_acceso,eolica,Eólica,Con permisos,RdT,12398
PENINSULAR,Peninsular,,,,,,capacidad_acceso,eolica,Eólica,Con permisos,RdD,3876
PENINSULAR,Peninsular,,,,,,capacidad_acceso,eolica,Eólica,Puesta en servicio,RdT,14888.38
PENINSULAR,Peninsular,,,,,,capacidad_acceso,eolica,Eólica,Puesta en servicio,RdD,8985.89
PENINSULAR,Peninsular,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,En curso,RdT,7981.95
PENINSULAR,Peninsular,,,,,,capacidad_acceso,fotovoltaica,Fotovoltaica,En curso,RdD,5389.35
